Date,Action,Signal,Price,Shares,Fee,Cash,Portfolio_Value,PnL
2021-05-14,BUY,Buy,127.44999694824219,78.38368175133789,10.0,0.0,9990.0,0.0
2021-05-28,SELL,Sell,124.61000061035156,78.38368175133789,9.767390630875818,9757.623240244942,9757.623240244942,-242.37675975505772
2021-06-08,BUY,Buy,126.73999786376953,76.91230693788158,9.757623240244943,0.0,9747.865617004698,0.0
2021-07-20,SELL,Sell,146.14999389648438,76.91230693788158,11.240733189535925,11229.49245634639,11229.49245634639,1471.8692161014478
2021-08-31,BUY,Strong Buy,151.8300018310547,73.8869974879728,11.22949245634639,0.0,11218.262963890043,0.0
2021-09-10,SELL,Sell,148.97000122070312,73.8869974879728,11.006946105977399,10995.939159871421,10995.939159871421,-233.5532964749691
2021-10-14,BUY,Buy,143.75999450683594,76.41168364255331,10.995939159871421,0.0,10984.94322071155,0.0
2021-11-10,SELL,Sell,147.9199981689453,76.41168364255331,11.302816104492514,11291.513288388021,11291.513288388021,295.57412851660047
2021-11-17,BUY,Strong Buy,153.49000549316406,73.49157190304497,11.291513288388021,0.0,11280.221775099635,0.0
2021-12-17,SELL,Sell,171.13999938964844,73.49157190304497,12.57734757063142,12564.770223060788,12564.770223060788,1273.2569346727669
2022-02-01,BUY,Buy,174.61000061035156,71.88709357402972,12.564770223060789,0.0,12552.205452837728,0.0
2022-02-17,SELL,Sell,168.8800048828125,71.88709357402972,12.140292713793338,12128.152421079545,12128.152421079545,-436.61780198124325
2022-03-18,BUY,Buy,163.97999572753906,73.88720932027492,12.128152421079545,0.0,12116.024268658466,0.0
2022-04-08,SELL,Sell,170.08999633789062,73.88720932027492,12.56747516270252,12554.907687539817,12554.907687539817,426.75526646027174
2022-05-27,BUY,Buy,149.63999938964844,83.81684597039575,12.554907687539817,0.0,12542.352779852277,0.0
2022-06-13,SELL,Strong Sell,131.8800048828125,83.81684597039575,11.053766055837734,11042.712289781895,11042.712289781895,-1512.1953977579215
2022-06-23,BUY,Buy,138.27000427246094,79.7835339308605,11.042712289781896,0.0,11031.669577492114,0.0
2022-08-22,SELL,Sell,167.57000732421875,79.7835339308605,13.36932736514635,13355.958037781204,13355.958037781204,2313.245747999308
2022-10-17,BUY,Buy,142.41000366210938,93.69146644642248,13.355958037781203,0.0,13342.602079743423,0.0
2022-11-04,SELL,Strong Sell,138.3800048828125,93.69146644642248,12.965025584333807,12952.060558749474,12952.060558749474,-403.89747903172974
2022-11-11,BUY,Buy,149.6999969482422,86.43359226429602,12.952060558749475,0.0,12939.108498190724,0.0
2022-11-28,SELL,Sell,144.22000122070312,86.43359226429602,12.465452781866528,12452.987329084663,12452.987329084663,-499.07322966481115
2023-01-09,BUY,Buy,130.14999389648438,95.58613081188645,12.452987329084664,0.0,12440.534341755578,0.0
2023-02-21,SELL,Sell,148.47999572753906,95.58613081188645,14.192628294560889,14178.435666266329,14178.435666266329,1725.448337181666
2023-03-16,BUY,Strong Buy,155.85000610351562,90.88390552382884,14.17843566626633,0.0,14164.257230600062,0.0
2023-04-11,SELL,Sell,160.8000030517578,90.88390552382884,14.614132285587345,14599.518153301759,14599.518153301759,421.08248703542995
2023-04-19,BUY,Strong Buy,167.6300048828125,87.00661104999993,14.599518153301759,0.0,14584.918635148457,0.0
2023-05-04,SELL,Sell,165.7899932861328,87.00661104999993,14.424825461828657,14410.400636366829,14410.400636366829,-189.11751693492988
2023-05-05,BUY,Strong Buy,173.57000732421875,82.94054057876245,14.410400636366829,0.0,14395.990235730462,0.0
2023-07-10,SELL,Sell,188.61000061035156,82.94054057876245,15.643415409183275,15627.771993774091,15627.771993774091,1217.3713574072626
2023-08-25,BUY,Buy,178.61000061035156,87.40912697178221,15.627771993774092,0.0,15612.144221780318,0.0
2023-09-07,SELL,Sell,177.55999755859375,87.40912697178221,15.520364371708462,15504.844007336753,15504.844007336753,-122.9279864373384
2023-10-04,BUY,Buy,173.66000366210938,89.19347481684416,15.504844007336754,0.0,15489.339163329418,0.0
2023-10-20,SELL,Strong Sell,172.8800048828125,89.19347481684416,15.419768361851034,15404.348593489181,15404.348593489181,-100.4954138475714
2023-11-02,BUY,Buy,177.57000732421875,86.66409646983664,15.404348593489182,0.0,15388.944244895692,0.0
