Feature,Importance
Daily_Return,0.07956563214670204
Volume_Ratio,0.06537298443376618
Close_to_SMA50,0.06479407269275214
SMA_20,0.061561462684936966
Momentum_5,0.061543714389109674
Volatility_20,0.060654636037904594
ATR,0.05816557923349687
MACD,0.057521815209246756
SMA_50,0.05707088841905295
RSI,0.05630993025959331
Volume,0.0555758647394045
Signal_Line,0.05481456517779416
EMA_Diff,0.05399695080187714
StochRSI,0.05398336324073519
MACD_Histogram,0.05394426080106679
Momentum_10,0.05311092815085476
Close_to_SMA20,0.05201335158170613
